Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "ArduLab.brd" as of: 05/02/2018 0:40:45
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.298,1.366,90
C2,Top,0.936,1.374,90
C3,Bottom,2.018,0.430,270
C4,Top,1.382,2.677,180
C5,Top,1.638,2.677,180
C6,Top,1.126,2.677,180
C7,Top,1.488,1.685,90
C8,Top,0.787,1.378,90
C9,Top,0.866,2.677,180
C10,Top,1.736,3.528,180
C11,Top,1.870,0.768,180
C12,Bottom,3.012,2.421,0
C13,Bottom,3.012,2.008,0
C14,Bottom,2.783,2.421,180
C15,Bottom,2.780,2.008,180
C16,Top,0.480,2.019,270
C17,Top,1.767,3.129,180
C18,Bottom,1.772,0.354,180
C19,Bottom,1.772,0.492,180
C20,Top,0.583,2.677,180
C21,Top,1.764,2.980,180
C22,Top,1.142,3.252,180
C23,Top,1.976,1.488,0
C24,Top,1.539,1.248,90
C26,Top,1.142,3.091,180
CN2,Bottom,1.567,3.224,90
D1,Top,1.425,3.331,0
D2,Top,1.425,3.197,0
D3,Top,2.205,3.120,270
JP2,Top,0.311,1.220,180
L1,Top,2.031,3.256,0
LED1,Top,2.423,3.406,90
LED2,Top,2.581,3.407,90
LED3,Top,2.445,3.161,0
LED4,Top,2.445,3.012,0
LED5,Top,1.142,3.819,180
Q1,Top,0.299,2.957,180
Q2,Top,0.126,2.957,180
R1,Top,0.606,2.232,90
R2,Top,0.748,2.232,90
R3,Bottom,2.480,0.843,0
R4,Bottom,2.480,0.984,0
R5,Bottom,2.480,1.126,0
R6,Bottom,2.445,3.012,180
R7,Bottom,2.445,3.161,180
R8,Top,1.142,3.622,180
R9,Bottom,2.581,3.409,90
R10,Bottom,2.423,3.407,270
R11,Top,1.142,2.937,180
R12,Bottom,2.425,2.230,90
R13,Top,0.272,3.146,90
R14,Bottom,2.953,0.689,0
R15,Bottom,2.953,0.512,0
R16,Top,1.142,3.406,180
R17,Top,0.295,2.744,270
R18,Top,0.118,2.744,270
R19,Top,0.110,3.142,90
R20,Top,1.421,3.531,180
R21,Top,2.035,3.528,180
R22,Top,1.429,3.028,0
RGB,Top,2.480,0.984,180
S3,Top,2.520,0.394,90
S4,Top,2.432,2.234,180
SJ2,Top,0.224,3.425,270
U1,Top,1.182,1.975,0
U2,Top,1.851,0.420,0
U3,Top,1.752,3.264,90
U4,Bottom,1.142,3.091,180
U5,Top,1.870,1.122,270
U6,Top,0.705,3.500,0
X1,Top,1.117,1.345,90
